path,label
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_1.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_10.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_11.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_12.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_13.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_14.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_15.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_16.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_17.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_18.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_19.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_2.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_20.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_21.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_22.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_23.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_24.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_25.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_26.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_27.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_28.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_29.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_3.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_30.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_31.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_32.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_33.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_34.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_35.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_36.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_37.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_38.wav,daily_human
/content/drive/MyDrive/mark2.9.0/data_wav/daily_human_talking_39.wav,daily_human
